Panopticon ID,Title,Need ID,Questions
102,Letting a property,1867,Binned
126,Protect a property against fraud,278,Binned
244,A transaction link,,Presume this was for testing
245,A guide link,,Presume this was for testing
246,An answer link,,Presume this was for testing
247,A programme link,,Presume this was for testing
272,Get careers advice,342,Binned
274,Going to court if you're disabled,284,Binned
278,Managing a house with multiple private tenants,1838,Binned
280,Getting landlords' energy savings allowance,538,Binned
281,Stop anti-social behaviour in privately rented accommodation,1832,Binned
282,"Wills, inheritance and probate",757,In progress
177,Prepare for the Life in the UK Test,1879,Binned
187,Report discrimination at school,703,Binned
193,What is an ISA,994,Binned
195,Tax free savings for children,970,Binned
204,Manage Child Benefit,61 or 831,Both binned
205,Seatbelts - the rules,29,Binned
206,Get a child passport,1916,Binned
207,Driving before your licence is returned,1971,Published
210,Get legal advice,621,Binned
258,Houses in multiple occupation,Not found,DELETE
262,Travelling to the USA,Not found,DELETE
270,Employment Tribunals,366,Binned
294,Insurers offering Pass Plus discounts,Not found,DELETE
295,Local authorities offering Pass Plus course discounts,Not found,DELETE
320,Improvements and repair grants for your home,1733,Done
338,Applying for vehicle tax exemption,Not found,DELETE
340,"Agricultural, horticultural and forestry vehicles exempt from vehicle tax",Not found,DELETE
346,Disability Employment Advisers,"608, 1014, 1508",All binned
254,Claim Child Benefit,61 or 831,All binned
312,Get copies of certifcates,Not found,DELETE
296,Check eligibility for Paternity Pay,Not found,DELETE
224,Know about age discrimination at work,595,Format assigned
87,How to claim Child Tax Credit,558,In progress
27,Company sick pay,1467,Binned
94,Jobseeker's Allowance (1),43,DELETE
95,Jobseeker's Allowance (2),43,DELETE
185,Jobseeker's Allowance,1028,In progress
142,State Pension if you retire abroad,390,Done
61,Confirm your National Insurance number,39,In progress
120,Payslips: your rights,348,In progress
98,Jury service - 2,not found,DELETE
81,Changing your property's boundary,192,Format assigned
318,Check if a vehicle is taxed,Not found,DELETE
168,Who is legally classed as disabled,721
78,Going to court as a victim or witness (dg),Not found,DELETE
79,Going to court as a victim or witness (B),1939
137,Respond to a court claim for money,Not found,DELETE
198,Change a practical driving test,Not found,DELETE
199,Check a practical driving test,Not found,DELETE
319,Claim VAT relief when building your new home,188,Binned
